pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,sy_snum,sy_pnum,discoverymethod,pl_bmasse
HAT-P-22 b,HAT-P-22,2010,12.89035,3.21222,0.0414,1463.0,0.02,5302.0,1.11,1.13,2,1,Transit,785.0401
HAT-P-23 b,HAT-P-23,2010,15.334,1.212884,0.0232,2056.0,0.106,5905.0,1.203,1.13,1,1,Transit,664.237
HAT-P-24 b,HAT-P-24,2010,14.5717,3.35524,0.04651,1637.0,0.07,6373.0,1.38,1.37,2,1,Transit,238.3725
HAT-P-25 b,HAT-P-25,2012,12.722215,3.65281514,0.0466,1182.0,0.023,5519.0,0.919,1.012,1,1,Transit,180.84527
HAT-P-26 b,HAT-P-26,2010,7.06167,4.23452,0.04748,1080.0,0.12,5079.0,0.87,1.12,1,1,Transit,22.2481
HAT-P-27 b,HAT-P-27,2011,11.43,3.039577,0.04,1091.99,0.0,5316.0,0.864673,0.916,2,1,Transit,197.05
HAT-P-28 b,HAT-P-28,2011,13.585,3.257215,0.0434,1384.0,0.051,5680.0,1.103,1.025,1,1,Transit,198.953
HAT-P-3 b,HAT-P-3,2007,10.53646,2.8997,0.03866,1189.0,0.0,5185.0,0.87,1.06,2,1,Transit,206.5895
HAT-P-30 b,HAT-P-30,2011,16.14096,2.8106,0.0419,1630.0,0.04,6304.0,1.31,1.55,2,1,Transit,263.7989
HAT-P-32 b,HAT-P-32,2011,22.19382,2.1500082,0.03397,1835.7,0.159,6001.0,1.367,1.132,2,1,Transit,216.1244
HAT-P-33 b,HAT-P-33,2011,20.73665,3.47447,0.04995,1782.0,0.0,6446.0,1.79,1.82,2,1,Transit,292.4036
HAT-P-35 b,HAT-P-35,2011,14.930388,3.646706,0.04978,1581.0,0.02,6096.0,1.435,1.236,3,1,Transit,335.62848
HAT-P-36 b,HAT-P-36,2011,14.313893,1.32734683,0.0241,1780.97,0.063,5620.0,1.041,1.03,1,1,Transit,587.413406
HAT-P-38 b,HAT-P-38,2012,9.247,4.640382,0.0523,1082.0,0.067,5330.0,0.923,0.886,1,1,Transit,84.857
HAT-P-4 b,HAT-P-4,2007,14.28,3.056536,0.04438,1686.0,0.0,5860.0,1.596,1.248,2,1,Transit,213.255
HAT-P-42 b,HAT-P-42,2012,14.348,4.641878,0.0575,1428.0,0.0,5743.0,1.53,1.178,1,1,Transit,331.801
HAT-P-43 b,HAT-P-43,2012,13.63,3.3326414,0.0444,1353.0,0.0,5693.0,1.08,1.03,1,1,Transit,210.395
