pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,sy_snum,sy_pnum
"Kepler-249 b","Kepler-249","Transit",2014,1.32000000,1.09000000,3.30653900000,0.0350000000,0.000000,554.00,3568.00,0.482000,0.510238,1,3
"OGLE-2018-BLG-1185L b","OGLE-2018-BLG-1185L","Microlensing",2021,8.40000000,2.83000000,,1.5400000000,,,,,0.370000,1,1
"WISEP J121756.91+162640.2 A b","WISEP J121756.91+162640.2 A","Imaging",2012,6992.00000000,10.46800000,,8.0000000000,,450.00,575.00,0.091000,0.029000,1,1
"KMT-2024-BLG-0176L b","KMT-2024-BLG-0176L","Microlensing",2026,241.54958932,14.00000000,,1.3200000000,,,,,0.103000,1,1
"KMT-2021-BLG-1150L b","KMT-2021-BLG-1150L","Microlensing",2023,279.68899816,13.90000000,,4.5000000000,,,,,0.730000,1,1
"KMT-2017-BLG-1146L b","KMT-2017-BLG-1146L","Microlensing",2019,230.00000000,14.00000000,,1.6000000000,,,,,0.330000,1,1
"MOA-2007-BLG-400L b","MOA-2007-BLG-400L","Microlensing",2008,540.30829190,13.50000000,,5.9000000000,,34.00,,,0.690000,1,1
"TWA 7 b","TWA 7","Imaging",2025,108.06165838,12.70000000,,52.0000000000,,316.00,3509.00,0.917173,0.460000,1,1
"Kepler-1222 b","Kepler-1222","Transit",2016,0.41800000,0.79000000,1.91694425400,0.0280100000,0.000000,1246.00,5239.00,0.800000,0.840000,1,1
"Kepler-463 b","Kepler-463","Transit",2016,9.53000000,3.05000000,8.98101683300,0.0792500000,0.000000,880.00,5661.00,0.900000,0.870000,1,1
"TOI-2337 b","TOI-2337","Transit",2022,508.52545120,10.08808263,2.99432000000,,0.019000,1272.46,4780.00,3.220000,1.325000,1,1
"HD 202206 c","HD 202206","Radial Velocity",2004,982.08977763,13.10000000,1299.22000000000,2.3900000000,0.171000,183.35,5764.23,1.040000,1.060000,1,2
"MOA-2010-BLG-477L b","MOA-2010-BLG-477L","Microlensing",2012,480.00000000,13.60000000,,2.0000000000,,,5950.00,,0.670000,1,1
"OGLE-2017-BLG-1522L b","OGLE-2017-BLG-1522L","Microlensing",2018,240.00000000,14.00000000,,0.5900000000,,,,,0.045000,1,1
"Kepler-566 b","Kepler-566","Transit",2016,5.27000000,2.15000000,18.42794624000,0.1247000000,0.000000,526.00,5132.00,0.790000,0.830000,1,1
"Kepler-1224 b","Kepler-1224","Transit",2016,2.33000000,1.33000000,13.32351601000,0.1162500000,0.000000,872.00,6155.00,1.220000,1.180000,1,1
"WASP-149 b","WASP-149","Transit",2025,314.96795134,15.24421375,1.33281300000,0.0240000000,0.000000,1855.00,5750.00,1.080000,1.050000,1,1
"KMT-2019-BLG-1042L b","KMT-2019-BLG-1042L","Microlensing",2022,60.38739733,9.05000000,,1.7000000000,,,,,0.300000,1,1
